COUNTRY,DT_REF,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FOG,RAIN,SNOW,HAIL,THUNDER,TORNADO
NEPAL,2019-07-02,842.0,741.2857142857143,9978.875,9184.076923076924,47.57142857142857,41.5,76.21428571428571,"",919.9285714285714,759.2142857142857,15.600000095367431,"",1,1,0,0,1,0
MAURITANIA,2019-04-23,761.3333333333334,530.5,"","",45.5,120.33333333333333,160.0,299.0,854.0,662.0,"","",0,0,0,0,0,0
FRENCH SOUTHERN AND ANTARCTIC LANDS,2019-05-19,533.25,470.0,10176.75,10112.0,"",92.0,127.5,246.0,579.25,492.75,"","",0,0,0,0,0,0
ARGENTINA,2019-11-07,658.8870967741935,489.85483870967744,10106.218181818182,9750.466666666667,103.61290322580645,78.95161290322581,149.98387096774192,303.2,818.5483870967741,555.8225806451613,20.1,4.0,1,1,1,0,1,0
NEPAL,2019-10-22,691.6666666666666,597.8,10080.142857142857,9126.75,35.733333333333334,21.4,49.92307692307692,"",816.2,562.0666666666667,"","",1,0,0,0,0,0
ST. PIERRE AND MIQUELON,2019-04-08,268.0,149.0,10133.0,10124.0,240.0,215.0,270.0,400.0,313.0,212.0,"","",0,0,0,0,0,0
CAMEROON,2019-01-16,783.2,504.8,10117.0,9626.0,33.2,43.5,84.5,"",889.2,662.4,"","",0,0,0,0,1,0
HUNGARY,2019-01-08,246.96969696969697,219.66666666666666,10163.44,9923.653846153846,36.05555555555556,51.18181818181818,86.45454545454545,"",297.24242424242425,159.3030303030303,3.2857142857142856,35.0,1,1,1,0,0,0
SURINAME,2019-03-02,806.0,697.3333333333334,10150.0,"",88.66666666666667,75.0,143.0,"",870.6666666666666,745.3333333333334,1.5,"",0,1,0,0,0,0
LEBANON,2019-08-22,828.5,699.0,10104.0,10093.0,71.0,48.0,95.5,"",897.0,754.0,"","",0,0,0,0,0,0
WESTERN SAMOA,2019-10-03,805.0,736.0,10117.5,"",104.0,64.5,145.0,"",889.0,722.5,"","",0,0,0,0,0,0
LITHUANIA,2019-04-17,510.22222222222223,289.8888888888889,10305.8,10202.8,100.5,61.0,94.44444444444444,136.0,647.6666666666666,357.77777777777777,"","",0,0,0,0,0,0
ZIMBABWE,2019-08-09,692.3333333333334,381.0,"","",72.66666666666667,89.66666666666667,126.33333333333333,"",854.0,551.0,"","",0,0,0,0,0,0
BELARUS,2019-06-08,718.5882352941177,597.2941176470588,10198.923076923076,10006.153846153846,81.625,47.75,82.5,179.5,830.8823529411765,583.8235294117648,9.0,"",1,1,0,0,1,0
GUATEMALA,2019-02-12,741.2,597.0,"","",58.77777777777778,37.1,86.0,"",872.6,577.4,"","",0,0,0,0,0,0
CAYMAN ISLANDS,2019-07-22,869.0,778.0,"","",82.0,81.0,114.5,"",919.5,775.5,"","",0,1,0,0,0,0
IRAQ,2019-12-18,560.1935483870968,463.6774193548387,10247.793103448275,"",49.064516129032256,46.666666666666664,68.5925925925926,"",662.516129032258,456.35483870967744,0.0,"",1,0,0,0,0,0
NAMIBIA,2019-06-22,584.6875,308.4375,10195.0,8985.7,435.0,43.875,86.375,171.0,765.75,436.875,"","",0,0,0,0,0,0
REUNION AND ASSOCIATED ISLANDS,2019-12-25,781.0,714.5,10152.0,"",86.5,157.5,249.5,390.0,880.5,770.0,28.0,"",0,1,0,0,0,0
DJIBOUTI,2019-10-09,872.0,769.0,"","",73.0,91.0,99.0,"",914.0,842.0,"","",0,0,0,0,0,0
BELARUS,2019-07-13,592.6818181818181,479.5,10098.6875,9906.3125,87.95454545454545,32.111111111111114,69.0,149.0,697.1363636363636,453.54545454545456,1.0,"",1,1,0,0,1,0
NORFOLK ISLAND,2019-04-19,692.0,600.0,"","",62.0,139.0,181.0,280.0,734.0,662.0,"","",0,1,0,0,0,0
REUNION AND ASSOCIATED ISLANDS,2019-06-02,742.0,648.0,"","",90.0,102.5,210.0,251.0,830.5,662.0,"","",0,1,0,0,0,0
GUYANA,2019-05-07,812.5,763.25,10131.0,"",72.75,86.0,118.5,"",858.75,746.25,135.33333333333334,"",0,1,0,0,0,0
NICARAGUA,2019-02-23,821.3333333333334,723.5,"","",56.5,62.833333333333336,99.66666666666667,"",869.0,749.0,"","",0,1,0,0,0,0
VENEZUELA,2019-10-21,814.4,722.4,"","",62.0,40.666666666666664,73.33333333333333,"",881.6,734.0,"","",0,0,0,0,1,0
INDIA,2019-01-13,686.8705882352941,549.7,10162.593220338984,9612.537037037036,24.741176470588236,21.970588235294116,48.65605095541401,"",799.5058823529412,560.4941176470588,25.833333015441895,"",1,1,1,0,0,0
GRENADA,2019-11-06,816.0,759.0,10126.0,10116.0,69.0,136.0,229.0,"",898.0,759.0,"","",0,1,0,0,1,0
NORFOLK ISLAND,2019-03-06,721.0,"","","",62.0,96.0,140.0,"",770.0,696.0,"","",0,0,0,0,0,0
BRITISH INDIAN OCEAN TERRITORY,2019-09-02,831.0,783.0,10109.0,"",62.0,84.0,120.0,"",873.0,802.0,"","",0,0,0,0,0,0
SPAIN,2019-03-11,637.3846153846154,509.6923076923077,10265.5,9656.4,86.63636363636364,86.38461538461539,137.23076923076923,213.0,715.0,573.7692307692307,"","",0,0,0,0,0,0
DOMINICAN REPUBLIC,2019-03-12,762.75,687.9090909090909,10171.875,"",75.16666666666667,67.27272727272727,121.18181818181819,"",848.0,660.0,41.6,"",0,1,0,0,0,0
ANTARCTICA,2019-04-25,-71.12162162162163,47.696969696969695,9873.104166666666,9046.958333333334,74.23076923076923,142.18840579710144,214.5076923076923,374.5,-24.14864864864865,-121.08108108108108,5.538461538461538,125.4,1,1,1,0,0,0
TRINIDAD AND TOBAGO,2019-11-25,811.5,760.5,10110.0,10085.0,70.0,54.0,130.0,"",902.5,760.0,58.999996185302734,"",0,1,0,0,0,0
NETHERLANDS,2019-11-08,834.0,741.0,"","",63.0,128.0,160.5,213.5,887.0,801.5,"","",0,1,0,0,0,0
KYRGYZSTAN,2019-02-05,304.25,247.5,10242.0,8733.833333333334,119.875,39.625,82.625,"",401.625,222.625,"",59.0,1,1,1,0,0,0
SAO TOME AND PRINCIPE,2019-10-17,808.0,755.0,"","",62.0,63.0,140.0,"",878.0,734.0,"","",0,0,0,0,0,0
GABON,2019-04-18,803.7777777777778,743.5555555555555,10101.5,9850.0,63.333333333333336,44.0,124.75,"",861.0,734.5555555555555,39.0,"",0,1,0,0,1,0
MALAYSIA,2019-08-25,798.3103448275862,749.2758620689655,10108.65,10000.368421052632,56.25925925925926,32.172413793103445,82.44827586206897,226.66666666666666,882.3448275862069,749.5862068965517,31.235294117647058,"",0,1,0,0,1,0
ZAMBIA,2019-08-01,661.0,380.0,"","",65.0,65.0,159.0,"",820.0,518.0,"","",0,0,0,0,0,0
AUSTRALIA,2019-08-31,590.7887323943662,418.05625,10174.421319796955,9970.149746192894,73.484375,76.67404426559357,136.4439918533605,281.09090909090907,699.7082494969819,458.6861167002012,15.507575764800563,"",1,1,1,0,0,0
KYRGYZSTAN,2019-08-07,783.7777777777778,485.22222222222223,10019.75,8571.0,187.22222222222223,41.0,67.0,"",937.6666666666666,630.2222222222222,"","",0,0,0,0,0,0
MIDWAY ISLANDS,2019-08-12,814.0,733.0,10173.0,"",74.0,25.0,70.0,"",871.0,759.0,"","",0,1,0,0,0,0
UNITED KINGDOM,2019-09-08,458.5,407.0,10153.0,10157.0,"",72.0,124.5,"",512.5,390.0,2.0,"",0,0,0,0,0,0
PERU,2019-12-26,711.2068965517242,619.1153846153846,10109.29411764706,9146.5,58.88461538461539,56.96551724137931,108.75862068965517,"",781.9655172413793,633.6896551724138,32.75,"",1,1,0,0,0,0
GUINEA-BISSAU,2019-12-18,780.0,559.0,10108.0,10065.0,62.0,43.0,89.0,"",932.0,644.0,"","",0,0,0,0,0,0
BELIZE,2019-11-01,818.0,765.0,10151.0,"",103.0,45.0,89.0,"",894.0,747.0,"","",0,1,0,0,1,0
BURMA,2019-03-28,826.5909090909091,651.1363636363636,10109.931034482759,"",40.75,17.09090909090909,33.7906976744186,200.0,928.9772727272727,681.25,2.8,"",1,1,0,0,0,0
ST. KITTS AND NEVIS,2019-11-12,835.0,708.0,10129.0,10073.0,111.0,105.0,130.0,"",882.0,775.0,"","",0,0,0,0,0,0
ECUADOR,2019-11-11,699.6875,633.375,"","",59.375,60.6875,101.4375,"",771.6875,651.625,"","",0,1,0,0,0,0
JAPAN,2019-06-28,732.5577689243028,685.7490039840637,10035.6,9915.363636363636,79.95020746887967,59.79282868525896,110.196,244.9,794.6653386454183,686.0318725099602,62.37241351686675,"",1,1,0,0,1,0
CAMEROON,2019-01-15,778.8,510.2,10120.0,9630.0,27.6,38.5,84.5,"",887.8,656.6,"","",0,1,0,0,1,0
KENYA,2019-04-12,758.8,614.4,10116.25,8210.0,154.68421052631578,67.5,125.55,229.0,864.1,660.0,"","",0,1,0,0,0,0
TURKS AND CAICOS ISLANDS,2019-03-02,811.5,712.5,"","",62.0,105.0,140.0,"",833.0,770.0,"","",0,0,0,0,0,0
SOMALIA,2019-07-28,841.3333333333334,652.3333333333334,"","",87.33333333333333,192.66666666666666,260.3333333333333,410.0,914.6666666666666,762.6666666666666,"","",0,0,0,0,0,0
PUERTO RICO,2019-09-23,853.1,762.2,10122.142857142857,10110.5,100.0,49.6,127.0,189.66666666666666,896.4,802.7,17.0,"",0,1,0,0,0,0
POLAND,2019-10-24,545.7777777777778,498.0740740740741,10149.0,9894.620689655172,42.48051948051948,63.58024691358025,99.66666666666667,"",634.716049382716,464.51851851851853,0.09523809523809523,"",1,1,0,0,0,0
TOGO,2019-11-20,830.25,700.0,10095.0,9750.5,61.625,27.125,64.0,"",962.625,707.125,"","",0,0,0,0,0,0
CAMEROON,2019-09-12,819.6,719.6,10120.0,9628.666666666666,69.2,36.0,84.0,"",883.0,744.6,"","",0,1,0,0,1,0
GRENADA,2019-07-21,822.0,756.0,10139.0,10129.0,83.0,93.0,181.0,"",860.0,770.0,2.0,"",0,0,0,0,0,0
SAUDI ARABIA,2019-12-02,682.4375,502.25,10134.05,9345.285714285714,58.125,70.0625,135.96875,"",786.125,574.84375,"","",1,1,0,0,0,0
NORFOLK ISLAND,2019-02-25,708.0,"","","",62.0,177.0,229.0,340.0,752.0,680.0,"","",0,1,0,0,0,0
ST. KITTS AND NEVIS,2019-07-12,846.0,735.0,10158.0,10102.0,100.0,122.0,150.0,"",896.0,788.0,8.0,"",0,0,0,0,0,0
NORTHERN MARIANA ISLANDS,2019-09-06,829.75,764.0,10101.0,9944.333333333334,77.0,61.25,87.25,"",874.5,784.0,1.0,"",0,1,0,0,0,0
BANGLADESH,2019-09-19,862.1212121212121,788.0909090909091,10090.90625,10075.96875,31.515151515151516,6.303030303030303,30.869565217391305,"",955.7878787878788,795.7272727272727,41.2,"",0,1,0,0,1,0
EQUATORIAL GUINEA,2019-08-12,790.0,737.0,10158.0,10112.0,61.5,81.5,140.0,"",824.0,743.0,"","",0,1,0,0,0,0
AMERICAN SAMOA,2019-10-08,812.0,724.0,10120.5,10117.0,109.0,137.5,174.0,"",838.5,800.5,"","",0,1,0,0,0,0
TAJIKISTAN,2019-12-03,366.35714285714283,190.53571428571428,10203.125,9084.09090909091,221.42857142857142,55.95,87.45,"",490.75,269.17857142857144,"",56.666666666666664,0,0,0,0,0,0
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,2019-01-01,385.0,381.0,9967.0,9966.0,"",44.5,90.5,"",424.0,352.5,"","",0,0,0,0,0,0
EL SALVADOR,2019-05-08,873.8333333333334,746.1666666666666,"","",55.0,45.666666666666664,88.33333333333333,"",942.8333333333334,780.3333333333334,2.0,"",1,1,0,0,0,0
PUERTO RICO,2019-09-27,854.6,764.2,10147.57142857143,10138.0,100.0,38.5,91.57142857142857,"",896.6,811.6,"","",0,0,0,0,0,0
BULGARIA,2019-11-27,429.6470588235294,403.6470588235294,10132.166666666666,9305.75,95.41176470588235,54.06666666666667,95.4,"",483.94117647058823,383.70588235294116,12.444444444444445,"",1,1,0,0,0,0
SEYCHELLES,2019-03-17,825.0,767.0,10117.0,"",79.0,51.0,120.0,"",896.0,788.0,"","",0,1,0,0,1,0
ST. LUCIA,2019-04-20,813.0,720.0,10167.5,10162.0,91.0,141.0,180.5,265.5,858.0,755.5,1.5,"",0,1,0,0,0,0
DJIBOUTI,2019-10-11,914.0,763.0,"","",62.0,86.0,111.0,"",932.0,896.0,"","",0,0,0,0,0,0
MACEDONIA,2019-04-23,516.0,422.05263157894734,10206.0,9491.76923076923,97.89473684210526,100.66666666666667,138.6,220.5,579.421052631579,452.89473684210526,21.470588627983542,"",1,1,0,0,0,0
MAYOTTE,2019-07-14,791.0,693.0,"","",65.0,101.0,159.0,"",842.0,716.0,"","",0,0,0,0,0,0
EGYPT,2019-04-17,683.76,462.68,10150.5,"",58.36363636363637,85.56,137.16,"",768.16,597.28,"","",0,0,0,0,0,0
MALAWI,2019-06-06,725.0,592.0,"","",93.0,49.0,80.0,"",788.0,525.0,"","",0,0,0,0,0,0
GUAM,2019-07-27,820.6666666666666,755.0,10091.666666666666,9944.5,97.0,55.0,137.33333333333334,190.0,881.3333333333334,759.6666666666666,2.0,"",0,1,0,0,0,0
MONTSERRAT,2019-04-10,780.0,698.0,"","",62.0,146.0,171.0,"",806.0,752.0,"","",0,0,0,0,0,0
ARGENTINA,2019-03-07,726.3134328358209,611.9253731343283,10047.95,9689.60606060606,100.5223880597015,76.34328358208955,152.84848484848484,307.46153846153845,847.1492537313433,625.7910447761194,65.91666666666667,"",1,1,1,1,1,0
DOMINICAN REPUBLIC,2019-05-22,815.5,745.0833333333334,10143.0,"",75.83333333333333,57.3,102.3,"",894.0,735.9166666666666,35.0,"",0,1,0,0,1,0
MALAWI,2019-07-11,740.0,445.0,"","",80.0,57.0,80.0,"",756.0,716.0,"","",0,0,0,0,0,0
CZECH REPUBLIC,2019-12-12,292.7073170731707,261.6585365853659,10067.217391304348,9431.212121212122,67.3,58.8780487804878,108.0,301.3333333333333,325.0731707317073,241.02439024390245,1.5,7.555555555555555,1,1,1,0,0,0
CONGO,2019-06-15,764.6,707.0,"","",47.4,31.6,58.8,"",831.2,712.4,"","",0,1,0,0,1,0
BOSNIA AND HERZEGOVINA,2019-07-06,787.6666666666666,606.1333333333333,10119.25,9551.0,115.78571428571429,35.0,70.73333333333333,"",903.7333333333333,607.6666666666666,2.0,"",1,0,0,0,0,0
ESTONIA,2019-06-12,626.9583333333334,522.0833333333334,10206.2,10161.25,146.52173913043478,104.8695652173913,140.30434782608697,230.5,701.125,554.875,26.333333333333332,"",0,1,0,0,0,0
HONG KONG,2019-09-10,874.0,752.0,"","",67.0,68.0,130.0,"",932.0,824.0,"","",0,1,0,0,0,0
SWAZILAND,2019-01-26,660.0,636.0,"",9370.666666666666,"",42.857142857142854,107.42857142857143,451.0,753.1428571428571,616.1428571428571,"","",0,0,0,0,0,0
IRAN,2019-10-13,700.7765957446809,480.59574468085106,10181.40350877193,9204.543859649122,61.54255319148936,64.38888888888889,135.25555555555556,325.6,809.0531914893617,583.3297872340426,89.7,"",1,1,0,0,1,0
PALAU - TRUST TERRITORY OF THE PACIFIC ISLANDS,2019-03-05,803.0,741.0,"","",140.0,93.0,140.0,241.0,860.0,768.0,12.0,"",0,1,0,0,0,0
CROATIA,2019-10-07,552.7560975609756,403.5121951219512,10137.161290322581,9877.235294117647,149.4390243902439,66.425,125.3,356.3333333333333,626.219512195122,476.8780487804878,"","",0,0,0,0,0,0
SIERRA LEONE,2019-09-06,792.0,729.0,"","",62.0,86.0,120.0,"",842.0,752.0,"","",0,1,0,0,0,0
WESTERN SAMOA,2019-12-17,832.0,774.5,10058.5,"",99.0,36.5,90.5,"",892.5,748.5,5.0,"",0,0,0,0,0,0
WESTERN SAMOA,2019-07-02,801.5,763.0,10132.0,10124.0,68.5,76.0,150.0,"",866.5,754.5,4.0,"",0,1,0,0,0,0
GREECE,2019-04-25,626.84,517.5510204081633,10229.0,9938.0,61.026315789473685,35.285714285714285,80.0625,144.75,710.44,535.72,"","",0,1,0,0,1,0
CHILE,2019-04-13,552.5555555555555,450.8888888888889,10099.3,9806.761904761905,64.83333333333333,72.96296296296296,146.03703703703704,320.25,644.8518518518518,492.4074074074074,37.0,"",1,1,1,0,0,0
TONGA,2019-09-27,754.3333333333334,687.6666666666666,10172.2,"",101.5,74.0,93.33333333333333,"",800.5,673.0,9.0,"",0,1,0,0,0,0
IRAQ,2019-04-11,726.625,570.21875,10115.92857142857,"",59.71875,68.8,125.8,229.0,828.6875,627.53125,9.363636363636363,"",0,1,0,0,1,0
BAHRAIN,2019-05-23,929.0,585.0,"","","",65.0,140.0,"",1047.0,864.0,"","",0,0,0,0,0,0
DJIBOUTI,2019-09-03,1016.0,731.0,"","",67.0,51.0,89.0,"",1076.0,896.0,"","",0,0,0,0,0,0
ANGUILLA,2019-09-10,850.0,742.5,10159.0,10117.0,171.0,89.0,99.0,"",871.0,786.0,2.0,"",0,0,0,0,0,0
SOLOMON ISLANDS,2019-05-01,820.6,774.0,10089.75,"",128.2,23.6,52.2,"",889.6,772.2,28.0,"",0,1,0,0,0,0
BELIZE,2019-11-11,808.0,759.0,10126.0,"",103.0,39.0,89.0,"",882.0,743.0,17.0,"",0,0,0,0,0,0
IRAN,2019-12-28,510.7,355.2888888888889,10157.45588235294,9158.720588235294,65.34444444444445,53.80952380952381,108.80952380952381,390.0,615.8666666666667,410.4888888888889,22.50000011920929,18.666666666666668,1,1,1,0,1,0
CHINA,2019-10-18,563.455919395466,430.1536523929471,10210.73178807947,9203.348348348349,112.55102040816327,44.36734693877551,78.30102040816327,178.16666666666666,674.9017632241813,455.47355163727957,14.428571479661125,4.0,1,1,1,0,0,0
MACEDONIA,2019-05-02,561.9,385.15,10119.9,9440.285714285714,114.55,52.55555555555556,87.77777777777777,"",669.7,449.65,4.2,"",0,0,0,0,0,0
LAOS,2019-01-06,765.0625,661.3125,10150.454545454546,9678.142857142857,58.125,33.0,49.0,"",852.0,654.5625,"","",1,1,0,0,0,0
ST. LUCIA,2019-08-18,844.5,767.5,10157.0,10151.5,103.0,101.5,129.0,"",887.0,772.0,6.0,"",0,1,0,0,0,0
SIERRA LEONE,2019-10-29,832.0,718.0,"","",62.0,57.0,99.0,"",896.0,770.0,"","",0,0,0,0,0,0
GUADELOUPE,2019-09-17,834.0,754.0,"","",64.0,86.0,171.0,"",896.0,770.0,62.0,"",0,0,0,0,0,0
COMOROS,2019-12-11,842.0,761.0,10112.0,10070.0,107.0,78.0,150.0,241.0,905.0,788.0,4.0,"",0,0,0,0,0,0
ANGUILLA,2019-01-31,789.5,635.5,10186.0,10144.0,155.5,106.5,125.0,"",824.0,697.0,"","",0,0,0,0,0,0
VIRGIN ISLANDS (U.S.),2019-06-24,831.0,740.0,10162.25,10144.0,100.0,42.2,130.0,210.0,873.4,798.2,"","",0,0,0,0,0,0
ANTIGUA AND BARBUDA,2019-08-26,836.0,745.0,10156.5,10139.0,91.0,48.0,120.0,"",877.0,798.0,"","",0,0,0,0,0,0
RUSSIA,2019-08-27,563.2471910112359,482.9661971830986,10138.315132605305,9897.438461538462,161.47750362844704,54.15994020926756,86.7473841554559,216.07142857142858,658.6446629213483,461.62780898876406,12.232371756663689,"",1,1,0,0,1,0
ST. HELENA,2019-12-24,627.75,575.6666666666666,10170.0,9997.0,144.0,130.75,169.25,251.0,684.5,593.75,11.0,"",0,1,0,0,0,0
PUERTO RICO,2019-06-30,839.6363636363636,747.4,10180.0,10152.333333333334,97.66666666666667,56.72727272727273,148.42857142857142,235.0,879.0909090909091,795.5454545454545,"","",0,1,0,0,0,0
MAYOTTE,2019-05-19,817.0,746.0,"","",64.0,67.0,130.0,"",885.0,748.0,"","",0,0,0,0,0,0
ZIMBABWE,2019-09-15,761.5,337.5,"","",62.0,101.0,140.0,251.0,869.0,559.5,"","",0,0,0,0,0,0
LITHUANIA,2019-01-11,183.55555555555554,159.88888888888889,10103.0,9994.4,35.44444444444444,80.44444444444444,127.11111111111111,217.5,266.0,77.77777777777777,9.0,27.142857142857142,1,1,1,0,0,0
BRUNEI,2019-01-26,779.0,764.0,"","",42.0,42.0,89.0,"",842.0,734.0,16.0,"",0,1,0,0,0,0
AFGHANISTAN,2019-08-02,885.8333333333334,402.5,9947.25,8333.0,74.83333333333333,78.66666666666667,158.0,252.0,998.3333333333334,752.5,0.0,"",0,1,1,0,0,0
NETHERLANDS ANTILLES,2019-09-03,851.75,753.25,10129.5,10122.0,80.66666666666667,119.0,153.75,213.5,915.0,809.5,2.5,"",0,1,0,0,0,0
TAJIKISTAN,2019-07-13,773.0,507.32142857142856,9956.125,9017.0,215.03571428571428,46.52173913043478,74.34782608695652,"",911.3928571428571,641.7142857142857,4.0,4.0,0,1,0,0,1,0
GERMANY,2019-11-01,408.13235294117646,381.22058823529414,10104.875,"",46.06060606060606,65.55882352941177,104.94117647058823,212.0,480.44117647058823,330.8970588235294,2.5,"",1,1,0,0,0,0
COMOROS,2019-05-21,842.0,740.0,10154.0,10112.0,88.0,68.0,115.5,"",887.0,780.0,"","",0,0,0,0,0,0
GERMANY,2019-11-26,443.28985507246375,421.3235294117647,10084.0,"",42.492753623188406,53.81159420289855,84.55072463768116,181.0,490.20588235294116,395.8235294117647,0.5,"",1,1,0,0,0,0
SLOVAKIA,2019-03-07,470.64516129032256,341.4516129032258,10089.470588235294,9462.88,161.96296296296296,108.06451612903226,186.41935483870967,276.1875,557.6451612903226,370.35483870967744,4.5,593.3333333333334,1,1,1,0,0,0
DOMINICA,2019-05-17,834.0,723.0,10147.5,10133.5,92.5,58.5,84.5,159.0,890.5,740.5,5.0,"",0,1,0,0,0,0
MONTSERRAT,2019-08-14,827.0,759.0,"","",62.0,133.0,150.0,"",842.0,788.0,"","",0,0,0,0,0,0
LAOS,2019-07-02,800.5,757.5,"","",41.75,38.25,80.0,"",837.5,756.5,"","",0,1,0,0,1,0
TURKEY,2019-09-23,659.6666666666666,402.57971014492756,10150.75,9603.696202531646,94.03623188405797,31.28985507246377,69.31159420289855,146.28571428571428,779.2028985507246,482.1376811594203,0.0,"",0,0,0,0,0,0
LIBERIA,2019-07-14,770.0,728.0,10146.0,"",57.0,34.0,120.0,"",824.0,716.0,"","",0,0,0,0,0,0
CROATIA,2019-10-02,653.609756097561,583.5121951219512,10061.161290322581,9808.029411764706,109.70731707317073,59.775,133.325,326.5,752.780487804878,568.0731707317074,125.63636849143289,136.0,1,1,0,0,1,0
SOMALIA,2019-12-09,780.0,708.3333333333334,"","",68.0,89.66666666666667,144.0,"",808.3333333333334,734.0,"","",0,0,0,0,0,0
